 ,Time,Time.1,Place,Place.1,Place.2,Place.3,Place.4,Place.5,Place.6,Environment,Environment.1,Environment.2,Environment.3,Environment.4,Environment.5,Aircraft 1,Aircraft 1.1,Aircraft 1.2,Aircraft 1.3,Aircraft 1.4,Aircraft 1.5,Aircraft 1.6,Aircraft 1.7,Aircraft 1.8,Aircraft 1.9,Aircraft 1.10,Aircraft 1.11,Aircraft 1.12,Aircraft 1.13,Aircraft 1.14,Aircraft 1.15,Aircraft 1.16,Aircraft 1.17,Aircraft 1.18,Aircraft 1.19,Aircraft 1.20,Aircraft 1.21,Aircraft 1.22,Aircraft 1.23,Aircraft 1.24,Aircraft 1.25,Aircraft 1.26,Aircraft 1.27,Aircraft 1.28,Aircraft 1.29,Aircraft 1.30,Aircraft 1.31,Aircraft 1.32,Aircraft 1.33,Aircraft 1.34,Component,Component.1,Component.2,Component.3,Aircraft 2,Aircraft 2.1,Aircraft 2.2,Aircraft 2.3,Aircraft 2.4,Aircraft 2.5,Aircraft 2.6,Aircraft 2.7,Aircraft 2.8,Aircraft 2.9,Aircraft 2.10,Aircraft 2.11,Aircraft 2.12,Aircraft 2.13,Aircraft 2.14,Aircraft 2.15,Aircraft 2.16,Aircraft 2.17,Aircraft 2.18,Aircraft 2.19,Aircraft 2.20,Aircraft 2.21,Aircraft 2.22,Aircraft 2.23,Aircraft 2.24,Aircraft 2.25,Aircraft 2.26,Aircraft 2.27,Aircraft 2.28,Aircraft 2.29,Aircraft 2.30,Aircraft 2.31,Aircraft 2.32,Aircraft 2.33,Aircraft 2.34,Person 1,Person 1.1,Person 1.2,Person 1.3,Person 1.4,Person 1.5,Person 1.6,Person 1.7,Person 1.8,Person 1.9,Person 1.10,Person 2,Person 2.1,Person 2.2,Person 2.3,Person 2.4,Person 2.5,Person 2.6,Person 2.7,Person 2.8,Person 2.9,Person 2.10,Events,Events.1,Events.2,Events.3,Events.4,Events.5,Assessments,Assessments.1,Report 1.2
449935,199811,1201-1800,EGLL.Airport,FO,,15,500,,,VMC,10,,Daylight,,,Military Facility ZZZ.MILFAC,Personal,Cessna 152,,1,Part 91,IFR,Personal,,Initial Climb,VFR Route; Other Noise Abatement,Class G ZZZ.G,,,,,,,,,,,,,,,,,,,,,,,,Carburetor Heat Control,,X,Improperly Operated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,,Personal,Pilot Flying; Single Pilot,Flight Crew Commercial; Flight Crew Private,Flight Crew Total 1000,,,,,449935,,,,,,,,,,,,Aircraft Equipment Problem Critical; Inflight Event / Encounter Other / Unknown,,,Person Flight Crew,,Flight Crew Landed in Emergency Condition; General Maintenance Action,Aircraft; Human Factors; Weather,Human Factors,A C152 PLT LOSES PWR AFTER TKOF AND MAKES AN OFF ARPT EMER LNDG NEAR THE DEP ARPT; A MIL GRASS SURFACED FIELD; JUST NW OF EGLL; FO.
455652,199911,1801-2400,TX05.Airport,TX,,1,0,,,VMC,50,,Night,CLR,,CTAF TX05,FBO,Cessna 152,,2,Part 91,VFR,Training,,Other Off Airport Landing,Other Straight In,,,,,,,,,,,,,,,,,,,,,,,,,Fuel,,X,Improperly Operated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,,FBO,Instructor,Flight Crew Flight Instructor,Flight Crew Last 90 Days 40; Flight Crew Total 1110; Flight Crew Type 600,,,,,455652,Aircraft X,,FBO,Trainee; Pilot Flying,Flight Crew Student,,,,,,,Aircraft Equipment Problem Critical; Deviation / Discrepancy - Procedural FAR; Other Fuel Exhaustion,,,Person Flight Crew,,Flight Crew Landed in Emergency Condition,Human Factors; Aircraft,Human Factors,A C152 CFI RPT ON AN OFF ARPT EMER NIGHT OP LNDG NEAR TX05; TX.
458061,199912,0601-1200,MWO.Airport,OH,,0,0,,,VMC,10,,Daylight,CLR,,,FBO,Cessna 152,,1,Part 91,,Training,,Parked,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft Documentation,,X,Improperly Operated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,,Personal,Single Pilot; Pilot Flying,Flight Crew Instrument; Flight Crew Commercial; Flight Crew Flight Instructor,Flight Crew Last 90 Days 128; Flight Crew Total 702; Flight Crew Type 486,,,,,458061,,,Government,FAA Inspector; Air Carrier Inspector,,,,,,,,Aircraft Equipment Problem Less Severe; Deviation / Discrepancy - Procedural FAR; Deviation / Discrepancy - Procedural Other / Unknown; Deviation / Discrepancy - Procedural Published Material / Policy,,,Person Other Person,,General Maintenance Action; General None Reported / Taken,Aircraft; Company Policy; Human Factors,Company Policy,INSTRUCTOR PLT OPERATED A C152 WHEN THE ACFT REGISTRATION CERTIFICATE DID NOT SHOW THE ACTUAL LEGAL OWNER.
460977,200001,1801-2400,OMA.Airport,NE,,8,,4000,,VMC,10,,Night,8000,,Tower OMA.Tower,Corporate,Cessna 120,,1,Part 91,IFR,Passenger,,Descent,Visual Approach,Class C OMA.C,,,,,,,,,,,,,,,,,,,,,,,,Reciprocating Engine Assembly,,X,Improperly Operated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,,Corporate,Pilot Flying; Single Pilot,Flight Crew Multiengine; Flight Crew Commercial; Flight Crew Instrument,Flight Crew Last 90 Days 150; Flight Crew Total 15000; Flight Crew Type 10000,,,,,460977,Facility OMA.Tower,,Government,Local,Air Traffic Control Fully Certified,,,,,,,Aircraft Equipment Problem Critical; Other FUEL EXHAUSTION,,,Automation Aircraft Other Automation; Person Flight Crew,,Flight Crew Landed in Emergency Condition,Human Factors; Aircraft; Weather,Human Factors,PLT OF A C210 MADE AN OFF ARPT EMER LNDG ON A ROAD DUE TO RUNNING OUT OF FUEL DURING A VISUAL APCH.
462625,200002,1201-1800,TTN.Airport,NJ,,0,0,,,VMC,10,,Daylight,4000,,Tower TTN.Tower,Personal,Cessna 120,,2,Part 91,VFR,Training,,Landing,,,,,,N,,,,,,,,,,,,,,,,,,,,Gear Extend/Retract Mechanism,,X,Malfunctioning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,,FBO,Instructor,Flight Crew Flight Instructor; Flight Crew Multiengine; Flight Crew Instrument; Flight Crew Commercial,Flight Crew Last 90 Days 450; Flight Crew Total 20000; Flight Crew Type 235,,,,,,Aircraft X,,FBO,Trainee; Pilot Flying,Flight Crew Private,,,,,,,Aircraft Equipment Problem Critical; Ground Event / Encounter Loss Of Aircraft Control,,,Automation Air Traffic Control; Person Flight Crew,,Aircraft Aircraft Damaged; Flight Crew Landed in Emergency Condition; General Maintenance Action,Aircraft,Aircraft,INSTRUCTOR PLT; WITH TRAINEE; OF C210 LANDED GEAR UP AFTER EFFORTS TO LOWER THE LNDG GEAR ALL FAILED TO WORK. ACFT REQUIRED DOCUMENTS BLEW OUT DOOR WHEN ATTEMPTING TO CONFIRM POS OF MAIN GEAR.
462674,200002,0601-1200,ZZZ.Airport,US,,0,0,,,,,,Daylight,,,,Personal,Cessna 150,,1,Part 91,,Personal,,Parked,,,,,Y,Y,,Repair,,2,,,,,,,,,,,,,,,,Wing Rib/Stringer,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Company,,Contracted Service,Inspector,Maintenance Airframe; Maintenance Inspection Authority; Maintenance Powerplant,Maintenance Repairman 15,,Troubleshooting,,,462674,Company,,Contracted Service,Inspector,Maintenance Powerplant; Maintenance Inspection Authority; Maintenance Airframe,,,,,,,Aircraft Equipment Problem Critical; Deviation / Discrepancy - Procedural Maintenance; Deviation / Discrepancy - Procedural FAR; Deviation / Discrepancy - Procedural Published Material / Policy,,,Person Other Person,,General None Reported / Taken; General Maintenance Action,Human Factors; Aircraft,Human Factors,A CESSNA 150 UNDERGOING A 100 HR CHK IS FOUND TO HAVE 6 SUBSTANDARD UNAPPROVED WING RIB REPAIRS NOT DISCOVERED IN LAST 2 ANNUAL INSPECTIONS.
463219,200002,1801-2400,OUN.Airport,OK,,3,,4500,,VMC,,,Night,,,CTAF OUN,FBO,Cessna 152,,1,Part 91,,,,Cruise,,Class C OKC.C,,,,,,,,,,,,,,,,,,,,,,,,Fuel,,X,Improperly Operated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,,FBO,Instructor; Single Pilot,Flight Crew Flight Instructor,Flight Crew Last 90 Days 80; Flight Crew Total 210; Flight Crew Type 80,,,,,463219,Aircraft X,,FBO,Trainee; Pilot Flying,Flight Crew Student,,,,,,,Aircraft Equipment Problem Critical; Other Fuel Starvation,,,Person Flight Crew,,Flight Crew Landed in Emergency Condition,Aircraft; Human Factors,Human Factors,INSTRUCTOR AND STUDENT RUN OUT OF GAS AND MAKE FORCED LNDG.
469240,200004,1801-2400,CDC.Airport,UT,,,0,,,VMC,,,Night,,,,Personal,Cessna 152,,1,Part 91,VFR,Training,,Parked,,,,,,,,,,,,,,,,,,,,,,,,,,Checklists,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,,Personal,Single Pilot; Pilot Flying,Flight Crew Private; Flight Crew Instrument,Flight Crew Last 90 Days 16.3; Flight Crew Total 208.3; Flight Crew Type 115.3,,,,,469240,,,,,,,,,,,,Aircraft Equipment Problem Less Severe; Deviation / Discrepancy - Procedural FAR; Deviation / Discrepancy - Procedural Published Material / Policy; Other INSPECTION OVER DUE,,,Person Flight Crew,,General Maintenance Action; General None Reported / Taken,Human Factors,Human Factors,C152 FLOWN PAST TIME DUE FOR 100 HR INSPECTION.
471535,200004,1801-2400,OGG.Airport,HI,,,0,,,VMC,10,,Daylight,CLR,,Tower OGG.Tower,Personal,Cessna 150,,1,Part 91,,Passenger,,Taxi,,Class C OGG.C,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tower OGG.Tower,Military,Hercules (C-130),,2,Part 91,,,,Taxi,,Class C OGG.C,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,,Personal,Single Pilot; Pilot Flying,Flight Crew Private,Flight Crew Last 90 Days 53.5; Flight Crew Total 1800; Flight Crew Type 1750,,,,,471535,Facility OGG.Tower,,Government,Ground,Air Traffic Control Fully Certified,,,,,,,Aircraft Equipment Problem Less Severe; Deviation / Discrepancy - Procedural Clearance; Deviation / Discrepancy - Procedural Published Material / Policy; Ground Incursion Runway,,,Person Flight Crew,,Air Traffic Control Issued New Clearance,Aircraft; Human Factors,Human Factors,RWY INCURSION AT OGG; HI.
474169,200005,1801-2400,T89.Airport,TX,,0,0,,,VMC,,,Daylight,CLR,,,Personal,Cessna 150,,1,Part 91,VFR,Other GLIDER TOW,,Taxi,,,,,Y,Y,,,,,,,,,,,,,,,,,,,,Propeller Blade,,,Improperly Operated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,,Personal,Pilot Flying; Single Pilot,Flight Crew Multiengine; Flight Crew Instrument; Flight Crew Flight Instructor; Flight Crew Commercial,Flight Crew Last 90 Days 25; Flight Crew Total 3500; Flight Crew Type 1000,,,,,474169,,,Other PARACHUTE JUMPER,723,,,,,,,,Aircraft Equipment Problem Critical; Deviation / Discrepancy - Procedural Published Material / Policy; Ground Event / Encounter Other / Unknown,,,Person Flight Crew,,Aircraft Aircraft Damaged; General None Reported / Taken; General Maintenance Action,Aircraft; Airport; Human Factors,Human Factors,A C150 WHILE TAXIING ON A RWY WITH GUIDANCE BY AN UNQUALIFIED PERSON STRUCK A RWY LIGHT INCURRING MINOR PROP DAMAGE.
474292,200005,1201-1800,FOE.Airport,KS,270,7,500,,,VMC,,,Daylight,,,Tower FOE.Tower,Personal,Cessna 152,,1,Part 91,VFR,Personal,,Cruise,,Class E ZKC.E,,,Y,Y,,,,2,,,,,,,,,,,,,,,,Carburetor,,,Improperly Operated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,,Personal,Pilot Flying; Single Pilot,Flight Crew Private,,,,,,474292,Facility FOE.Tower,,Government,Local,Air Traffic Control Fully Certified,,,,,,,Aircraft Equipment Problem Less Severe; Deviation / Discrepancy - Procedural FAR; Deviation / Discrepancy - Procedural Published Material / Policy; Ground Event / Encounter Other / Unknown,,,Person Flight Crew,,Air Traffic Control Provided Assistance; Flight Crew Landed in Emergency Condition; General Maintenance Action,Aircraft; Environment - Non Weather Related; Human Factors; Weather,Human Factors,A C152 IN SLOW FLT AT 500 FT EXPERIENCES A LOSS OF PWR AND MAKES AN OFF ARPT LNDG CAUSED BY CARB ICING.
477669,200007,1201-1800,FXE.Airport,,,7,900,,,VMC,Rain,,Daylight,,,,Personal,Cessna 150,,1,Part 91,,Personal,Localizer/Glideslope/ILS 08,Initial Approach,Visual Approach,Class D FXE.D,,,Y,Y,,,,2,,,,,,,,,,,,,,,,Fuel,,,Malfunctioning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,,Personal,Pilot Flying; Single Pilot,Flight Crew Commercial; Flight Crew Flight Instructor; Flight Crew Instrument,Flight Crew Last 90 Days 150; Flight Crew Total 1600; Flight Crew Type 500,,,,,477669,Facility FXE.Tower,,Government,Enroute,Air Traffic Control Fully Certified,,,,,,,Aircraft Equipment Problem Critical; Other FUEL CONTAMINATION,,,Person Flight Crew,,General Maintenance Action; General Declared Emergency,Airport; Aircraft; Human Factors; Weather,Airport,A C150 ON APCH TO FXE AT 900 FT DECLARES AN EMER AND MAKES AN OFF FIELD LNDG DUE TO LOSS OF PWR CAUSED BY FUEL CONTAMINATION.
483436,200008,1201-1800,ANI.Airport,AK,,0,0,,,VMC,,,Daylight,CLR,,CTAF ANI,Personal,Cessna 152,,1,Part 91,,Personal,,Landing; Descent,VFR Route; Other Traffic Pattern,Class G ANI.G,,,,,,,,,,,,,,,,,,,,,,,,VHF,,X,Malfunctioning,CTAF ANI,Personal,PA-18/19 Super Cub,,1,Part 91,,Personal,,Landing; Descent,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,,Personal,Pilot Flying; Single Pilot,Flight Crew Private,,,,,,483436,Aircraft Y,,Personal,Single Pilot; Pilot Flying,Flight Crew Private,,,,,,,Aircraft Equipment Problem Less Severe; Conflict Ground Conflict; Critical; Deviation / Discrepancy - Procedural FAR; Deviation / Discrepancy - Procedural Other / Unknown; Ground Event / Encounter Other / Unknown; Other SIT.AWARE,Horizontal 0; Vertical 20,,Person Flight Crew,,Flight Crew Executed Go Around / Missed Approach; Flight Crew Took Evasive Action; General Maintenance Action,Aircraft; Human Factors,Human Factors,A LNDG C207 HAS A CRITICAL GND CONFLICT WITH A LANDED SUPER CUB AFTER CUTTING OUT ANOTHER PA18 SUPER CUB ON FINAL AT ANI; AK.
488725,200010,0601-1200,COS.Airport,CO,,1,,7500,,VMC,10,,Daylight,CLR,,TRACON D01.TRACON; Tower COS.Tower,Personal,Cessna 120,,1,Part 91,,Test Flight / Demonstration,,Landing; Initial Climb; Climb; Cruise; Initial Approach,Visual Approach; VFR Route; Other Traffic Pattern,Class C COS.C,,,,,,,,5,,,,,,,,,,,,,,,,Electrical Power,,X,Failed,Tower COS.Tower,Air Carrier,Commercial Fixed Wing,,2,Part 121,IFR,Passenger,,Initial Approach,,Class C COS.C,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,,Personal,Pilot Flying; Single Pilot,Flight Crew Instrument; Flight Crew Private,Flight Crew Last 90 Days 15; Flight Crew Total 1300; Flight Crew Type 1250,,,,,488725,Aircraft X,,Contracted Service,Technician; Passenger; AVIONIES TECH,Maintenance Avionics; Other AVIAONICS TECH,,,,,,,Aircraft Equipment Problem Critical; Conflict Airborne Conflict; Other TOTAL ELECTRICAL FAILURE. LOSS OF ALL AVIONICS / LIGHTS,,,Person Flight Crew,,Flight Crew Executed Go Around / Missed Approach; Flight Crew Landed in Emergency Condition; General None Reported / Taken; General Maintenance Action,Aircraft,Aircraft,C210 HAD COMPLETE ELECTRICAL FAILURE IN COS CLASS C.
489598,200010,1201-1800,AML.VOR,VA,330,19,0,2400,,VMC,,,Daylight,,,TRACON IAD.TRACON,Personal,Cessna 152,,1,Part 91,,Other Repositioning,,Cruise; Landing,,Class E ZDC.E,,,,,Scheduled Maintenance,,,,,,,,,,,,,,,,,,,Engine,,X,Failed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,,Personal,Single Pilot; Pilot Flying,Flight Crew Instrument; Flight Crew Private,Flight Crew Last 90 Days 30; Flight Crew Total 400; Flight Crew Type 60,,Troubleshooting,,,489598,Facility IAD.TRACON,,Government,Approach,Air Traffic Control Fully Certified,,,,,,,Aircraft Equipment Problem Critical; Deviation / Discrepancy - Procedural Maintenance; Ground Event / Encounter Other / Unknown,,,Automation Aircraft Other Automation; Person Flight Crew,,Air Traffic Control Provided Assistance; Flight Crew Diverted; Flight Crew Landed in Emergency Condition; General Declared Emergency; General Maintenance Action,Aircraft; Human Factors,Aircraft,C152 OIL SEAL FAILURE AFTER RECENT MAINT RESULTS IN OFF ARPT LNDG NEAR IAD; VA.
489718,200010,1201-1800,3B9.Airport,CT,,,,2000,,VMC,,,Daylight,,,UNICOM 3B9,Personal,Cessna 152,,1,Part 91,VFR,Passenger,,Cruise,,Class E ZNY.E,,,,,,,,1,,,,,,,,,,,,,,,,Fuel System,,X,Improperly Operated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,,Personal,Pilot Flying; Single Pilot,Flight Crew Private,Flight Crew Last 90 Days 6; Flight Crew Total 232,,,,,489718,Aircraft X,,Personal,PAX,Other PAX,,,,,,,Aircraft Equipment Problem Critical; Deviation / Discrepancy - Procedural FAR; Deviation / Discrepancy - Procedural Published Material / Policy; Other RAN OUT OF GAS,,,Person Flight Crew,,,Aircraft; Human Factors,Human Factors,C152 PLT RAN OUT OF GAS AND MADE A FORCED LNDG ON A ROAD NEAR 3B9.
492086,200011,1201-1800,BKL.Airport,OH,0,0,,,,VMC,,,Daylight,,,Tower BKL.Tower,FBO,Cessna 150,,1,Part 91,VFR,Training,,Landing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,,FBO,Pilot Flying; Single Pilot,Flight Crew Student,Flight Crew Last 90 Days 29; Flight Crew Total 71; Flight Crew Type 69,,,,,492086,,,FBO,Instructor; Observer,Flight Crew Multiengine; Flight Crew Commercial; Flight Crew Flight Instructor; Flight Crew Instrument,Flight Crew Last 90 Days 250; Flight Crew Total 1200; Flight Crew Type 1180,,,,,492326,Aircraft Equipment Problem Critical; Ground Event / Encounter Loss Of Aircraft Control,,,Person Flight Crew,,Aircraft Aircraft Damaged; General None Reported / Taken,Human Factors,Human Factors,STUDENT PLT IN A C150 LOST CTL DURING LNDG RESULTING IN COLLAPSING THE NOSE GEAR AND DAMAGING THE PROP.
493730,200011,1201-1800,LXT.Airport,MO,,8,,2500,,VMC,,,Daylight,,,CTAF LXT; UNICOM LXT,FBO,Cessna 152,,1,Part 91,,Training,,Cruise,,Class E ZKC.E,,,,,,,,1,,,,,,,,,,,,,,,,Cylinder,,X,Failed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,,FBO,Single Pilot; Pilot Flying,Flight Crew Student,Flight Crew Last 90 Days 19.7; Flight Crew Total 19.7; Flight Crew Type 19.7,,,,,493730,,,FBO,Instructor; TRNEE'S ISTR,Flight Crew Instrument; Flight Crew Multiengine; Flight Crew Commercial; Flight Crew Flight Instructor; Other TRNEE'S ISTR,Flight Crew Last 90 Days 90; Flight Crew Total 2500; Flight Crew Type 500,,,,,493729,Aircraft Equipment Problem Critical; Other ENG FAILURE OFF ARPT EMER LNDG,,,Person Flight Crew,,Aircraft Aircraft Damaged; Flight Crew Landed in Emergency Condition; General Declared Emergency; General Maintenance Action,Aircraft,Aircraft,C152 TRAINEE HAD ENG FAILURE NEAR LXT.
500380,200102,1201-1800,CVG.Airport,KY,,0,0,,,VMC,,,Daylight,,,,Corporate,Cessna 120,,1,Part 135,IFR,Cargo / Freight / Delivery,,Landing,,Class B CVG.B,,,,,,,,,,,,,,,,,,,,,,,,Air/Ground Communication,,X,Malfunctioning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,,Corporate,Pilot Flying; Single Pilot,Flight Crew Instrument; Flight Crew Multiengine; Flight Crew Air Transport Pilot (ATP); Flight Crew Commercial,Flight Crew Total 7000,,,,,500380,,,,,,,,,,,,Aircraft Equipment Problem Less Severe; Airspace Violation All Types; Deviation / Discrepancy - Procedural Published Material / Policy; Deviation / Discrepancy - Procedural FAR; Deviation / Discrepancy - Procedural Landing Without Clearance,,,,,General None Reported / Taken,Aircraft; Human Factors,Human Factors,C210 COURIER PLT HAS STUCK MIKE AND UNABLE TO COM ON IFR FLT IN VFR CONDITIONS. PLY CONTINUES FLT BUT ENTERS CLASS B AIRSPACE AT CVG ARPT. PLT ENTERS NORMAL PATTERN WITH ALL LIGHTS ON AND LWOC.
506213,200103,1801-2400,CBF.Airport,IA,,0.5,500,,,VMC,10,,,9000,,CTAF CBF; UNICOM CBF,FBO,Cessna 150,,1,Part 91,,Training,,Initial Approach; Taxi,,Class G ZMP.G,,,,,,,,,,,,,,,,,,,,,,,,Air/Ground Communication,,,Malfunctioning,CTAF CBF; UNICOM CBF,Personal,Mustang (P51),,1,Part 91,,Personal,,Taxi; Initial Approach,,Class G ZMP.G,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,,FBO,Instructor; Pilot Flying,Flight Crew Multiengine; Flight Crew Commercial; Flight Crew Flight Instructor,Flight Crew Last 90 Days 130; Flight Crew Total 1100; Flight Crew Type 500,,,,,506213,Aircraft Y,,Personal,Pilot Flying; Single Pilot,Flight Crew Private,,,,,,,Aircraft Equipment Problem Less Severe; Conflict NMAC; Conflict Ground Conflict; Critical; Deviation / Discrepancy - Procedural FAR; Deviation / Discrepancy - Procedural Published Material / Policy; Ground Incursion Runway; Other See and Avoid Concept,Horizontal 0; Vertical 100,,Person Flight Crew,,Aircraft Aircraft Damaged; Flight Crew Took Evasive Action,Human Factors; Aircraft,Human Factors,C150 PLT HAD AN NMAC ON FINAL AND A GND CONFLICT WITH SAME ACFT WHILE TAXIING.
508432,200104,1201-1800,MSN.Airport,WI,,6,,4000,,VMC,Turbulence; 6,,Daylight,CLR,,TRACON MSN.TRACON,Personal,Cessna 152,,1,,IFR,Training,VOR / VORTAC MSN.VORTAC,Cruise,,Class E MSN.E,,,,,,,,,,,,,,,,,,,,,,,,Fuel Drain,,X,Malfunctioning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Personal,Pilot Flying; Single Pilot,Flight Crew Flight Instructor; Flight Crew Multiengine; Flight Crew Commercial,Flight Crew Last 90 Days 65; Flight Crew Total 710; Flight Crew Type 250,,,,,508432,Facility MSN.TRACON,,Government,Approach,Air Traffic Control Fully Certified,,,,,,,Aircraft Equipment Problem Critical; Deviation / Discrepancy - Procedural FAR; Inflight Event / Encounter Weather / Turbulence; Other FUEL TANK LEAK; FORCED LNDG,,,Person Flight Crew,,Flight Crew Landed in Emergency Condition; General Maintenance Action; General None Reported / Taken,Aircraft,Aircraft,CESSNA PLT HAD FORCED LNDG DUE TO FUEL TANK LEAKAGE AND FUEL EXHAUSTION.
509882,200104,1201-1800,M54.Airport,TN,,,50,,,VMC,,,Daylight,,,CTAF M54,Personal,Cessna 152,,1,Part 91,,Personal,,Takeoff / Launch,,,,,,,,,,,,,,,,,,,,,,,,,,Fuel Storage System,,X,Malfunctioning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,,Personal,Single Pilot; Pilot Flying,Flight Crew Air Transport Pilot (ATP); Flight Crew Commercial; Flight Crew Flight Engineer; Flight Crew Flight Instructor; Flight Crew Instrument; Flight Crew Multiengine,Flight Crew Last 90 Days 220; Flight Crew Total 10000; Flight Crew Type 1000,,,,,509882,,,,,,,,,,,,Aircraft Equipment Problem Critical; Other FUEL LEAK IN ACFT COCKPIT,,,Person Flight Crew,,Flight Crew Landed in Emergency Condition; General Maintenance Action,Aircraft,Aircraft,C-152 PLT HAD A FUEL LEAK IN THE COCKPIT AFTER TKOF AT M54.
510876,200105,1201-1800,HWO.Airport,FL,,15,0,,,VMC,10,,Daylight,,,Tower HWO.Tower,Personal,Cessna 152,,1,Part 91,,Personal,,Landing,,,,,,,,,,,,,,,,,,,,,,,,,,Engine,,X,Malfunctioning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,,Personal,Single Pilot; Pilot Flying,Flight Crew Multiengine; Flight Crew Instrument; Flight Crew Commercial,Flight Crew Last 90 Days 90; Flight Crew Total 500,,,,,510876,Facility HWO.Tower,,Government,Local,,,,,,,,Aircraft Equipment Problem Critical; Other OFF ARPT LNDG,,,Person Flight Crew,,Flight Crew Landed in Emergency Condition; General Maintenance Action,Human Factors; Aircraft,Aircraft,C152 PLT LOSES PWR AND IS FORCED TO LAND OFF ARPT.
512377,200105,1201-1800,X39.Airport,FL,,2,,0,,VMC,20,,Daylight,CLR,,CTAF X39,Personal,Cessna 152,,1,Part 91,VFR,Training,,Initial Approach; Landing,,Class G X39.G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,,Personal,Pilot Flying; Single Pilot,Flight Crew Instrument; Flight Crew Private,Flight Crew Last 90 Days 21.7; Flight Crew Total 180; Flight Crew Type 70.4,,,,,512377,,,,,,,,,,,,Aircraft Equipment Problem Critical; Deviation / Discrepancy - Procedural FAR,,,Automation Aircraft Other Automation; Person Flight Crew,,Flight Crew Landed in Emergency Condition,Aircraft; Human Factors,Human Factors,C152 PLT TOUCHED DOWN ON AN INTERSTATE HWY DURING AN EMER FORCED LNDG DUE TO FUEL STARVATION AND SUBSEQUENTLY TOOK OFF AND LANDED AT NEARBY DEST ARPT AFTER REGAINING SUFFICIENT ENG PWR.
514428,200006,1201-1800,MAF.Airport,TX,,,,,,VMC,,,Daylight,,,,Personal,Cessna 152,,1,Part 91,,Passenger,,Cruise,,Class E MAF.E,,,,,,,,,,,,,,,,,,,,,,,,Engine,,X,Failed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,,Personal,Pilot Flying; Single Pilot,Flight Crew Instrument; Flight Crew Commercial; Flight Crew Multiengine,Flight Crew Last 90 Days 110,,,,,514428,,,Personal,Observer; KIND CITIZEN,,,,,,,,Aircraft Equipment Problem Critical; Deviation / Discrepancy - Procedural FAR; Deviation / Discrepancy - Procedural Published Material / Policy; Other ENGINE FAILURE; FORCED LNDG,,,Person Flight Crew,,General None Reported / Taken,Aircraft; Human Factors,Aircraft,C152 PLT HAD A FORCED OFF ARPT LNDG CAUSED BY ENG STOPPAGE.
