 ,Time,Time.1,Place,Place.1,Place.2,Place.3,Place.4,Place.5,Place.6,Environment,Environment.1,Environment.2,Environment.3,Environment.4,Environment.5,Aircraft 1,Aircraft 1.1,Aircraft 1.2,Aircraft 1.3,Aircraft 1.4,Aircraft 1.5,Aircraft 1.6,Aircraft 1.7,Aircraft 1.8,Aircraft 1.9,Aircraft 1.10,Aircraft 1.11,Aircraft 1.12,Aircraft 1.13,Aircraft 1.14,Aircraft 1.15,Aircraft 1.16,Aircraft 1.17,Aircraft 1.18,Aircraft 1.19,Aircraft 1.20,Aircraft 1.21,Aircraft 1.22,Aircraft 1.23,Aircraft 1.24,Aircraft 1.25,Aircraft 1.26,Aircraft 1.27,Aircraft 1.28,Aircraft 1.29,Aircraft 1.30,Aircraft 1.31,Aircraft 1.32,Aircraft 1.33,Aircraft 1.34,Component,Component.1,Component.2,Component.3,Aircraft 2,Aircraft 2.1,Aircraft 2.2,Aircraft 2.3,Aircraft 2.4,Aircraft 2.5,Aircraft 2.6,Aircraft 2.7,Aircraft 2.8,Aircraft 2.9,Aircraft 2.10,Aircraft 2.11,Aircraft 2.12,Aircraft 2.13,Aircraft 2.14,Aircraft 2.15,Aircraft 2.16,Aircraft 2.17,Aircraft 2.18,Aircraft 2.19,Aircraft 2.20,Aircraft 2.21,Aircraft 2.22,Aircraft 2.23,Aircraft 2.24,Aircraft 2.25,Aircraft 2.26,Aircraft 2.27,Aircraft 2.28,Aircraft 2.29,Aircraft 2.30,Aircraft 2.31,Aircraft 2.32,Aircraft 2.33,Aircraft 2.34,Person 1,Person 1.1,Person 1.2,Person 1.3,Person 1.4,Person 1.5,Person 1.6,Person 1.7,Person 1.8,Person 1.9,Person 1.10,Person 2,Person 2.1,Person 2.2,Person 2.3,Person 2.4,Person 2.5,Person 2.6,Person 2.7,Person 2.8,Person 2.9,Person 2.10,Events,Events.1,Events.2,Events.3,Events.4,Events.5,Assessments,Assessments.1,Report 1.2
443114,199907,0601-1200,N99.Airport,PA,,,500,,,VMC,,,Daylight,,,UNICOM N99,Personal,Skyhawk 172/Cutlass 172,,1,Part 91,,Personal,,Takeoff / Launch,VFR Route,Class E ZDC.E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,,Personal,Pilot Flying; Single Pilot,Flight Crew Air Transport Pilot (ATP); Flight Crew Flight Instructor,Flight Crew Last 90 Days 60; Flight Crew Total 20000; Flight Crew Type 5000,,,,,443114,Aircraft X,,Personal,Passenger,Flight Crew Flight Instructor,,,,,,,Aircraft Equipment Problem Less Severe; Deviation / Discrepancy - Procedural FAR; Deviation / Discrepancy - Procedural Published Material / Policy; Other ATTACHED TOW BAR,,,Person Other Person,,Flight Crew Diverted; General None Reported / Taken,Human Factors,Human Factors,A CESSNA 172 DEPARTED N99 WITH THE NOSEWHEEL TOWBAR STILL ATTACHED.
443184,199907,1201-1800,ELP.Airport,TX,,0,0,,,VMC,10,,Daylight,12000,,Tower ELP.Tower,Personal,Skylane 182/RG Turbo Skylane/RG,,1,Part 91,,Personal,,Taxi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,,Personal,Pilot Flying; Single Pilot,Flight Crew Flight Instructor; Flight Crew Instrument; Flight Crew Multiengine; Flight Crew Commercial,Flight Crew Last 90 Days 52; Flight Crew Total 4700; Flight Crew Type 1242,,,,,443184,Aircraft X,,Personal,Passenger,,,,,,,,Aircraft Equipment Problem Less Severe; Ground Event / Encounter Other / Unknown,,,Person Flight Crew,,Aircraft Aircraft Damaged; General None Reported / Taken,Human Factors,Human Factors,A CESSNA 182 PLT STRUCK A RWY LIGHT DURING TAXI AT ELP.
443185,199907,1201-1800,MSP.Airport,MN,,50,,4300,,IMC,Rain; 0,,Daylight,3500,,Center ZMP.ARTCC,Personal,Skylane 182/RG Turbo Skylane/RG,,1,Part 91,IFR,Personal,VOR / VORTAC MSP.VORTAC,Cruise,,Class E ZMP.E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,,Personal,Single Pilot; Pilot Flying,Flight Crew Private; Flight Crew Instrument,,,,,,443185,Facility ZMP.ARTCC,,Government,Enroute,Air Traffic Control Fully Certified,,,,,,,Aircraft Equipment Problem Critical,,,Person Flight Crew,,Flight Crew Overcame Equipment Problem,Human Factors; Weather,Human Factors,A CESSNA 182 PLT LOST AIRSPD AND ALT NEAR MSP.
443404,199907,1201-1800,GRB.Airport,WI,,60,,7500,,,Icing; Thunderstorm; Turbulence,,Daylight,,,FSS GRB.FSS,Personal,Skyhawk 172/Cutlass 172,,1,Part 91,,Personal,GPS; VOR / VORTAC GRB.VORTAC,Cruise,Direct,Class E ZMP.E,,,,,,,,,,,,,,,,,,,,,,,,ILS/VOR,,X,Failed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,,Personal,Single Pilot; Pilot Flying,Flight Crew Private,Flight Crew Last 90 Days 34; Flight Crew Total 335; Flight Crew Type 288,,,,,443404,Facility GRB.FSS,,Government,Flight Service,,,,,,,,Aircraft Equipment Problem Critical; Deviation / Discrepancy - Procedural FAR; Inflight Event / Encounter VFR In IMC; Inflight Event / Encounter Loss Of Aircraft Control,,,Person Flight Crew,,Flight Crew Diverted; General Declared Emergency,Human Factors; Aircraft; Weather,Weather,CESSNA PLT FLIES INTO RAIN; TURB AND TSTM ON VFR FLT. EMER DECLARED AND FLT SVC GIVES ASSIST TO SUCCESSFUL OUTCOME.
443710,199907,1201-1800,L32.Airport,CA,,0,,10000,,VMC,,,Daylight,,,TRACON SCT.TRACON,Personal,Skylane 182/RG Turbo Skylane/RG,,1,Part 91,IFR,Skydiving,,Cruise,,Class E SCT.E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,,Personal,Pilot Flying; Single Pilot,Flight Crew Multiengine; Flight Crew Instrument; Flight Crew Commercial; Flight Crew Flight Instructor,Flight Crew Last 90 Days 25; Flight Crew Total 1100; Flight Crew Type 10,,,,,443710,Aircraft X,,,Passenger,,,,,,,,Aircraft Equipment Problem Less Severe; Deviation / Discrepancy - Procedural FAR; Deviation / Discrepancy - Procedural Published Material / Policy; Inflight Event / Encounter Other / Unknown,,,Person Air Traffic Control,,General None Reported / Taken,Human Factors,Human Factors,A C182 PARACHUTE JUMP PLT FAILED TO NOTIFY SCT TRACON 1 MIN PRIOR TO JUMP ACTIVITIES.
444086,199907,0601-1200,PBG.Airport,NY,,8,,1600,,VMC,,,Daylight,CLR,,UNICOM PLB,Personal,Cessna 150,,1,Part 91,VFR,Personal,,Initial Climb; Takeoff / Launch,VFR Route,Class G ZNY.G,,,,,,,,,,,,,,,,,,,,,,,,Cowling,,X,Malfunctioning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,,Personal,Single Pilot; Pilot Flying,Flight Crew Private,Flight Crew Last 90 Days 25; Flight Crew Total 630; Flight Crew Type 550,,,,,,,,,,,,,,,,,Aircraft Equipment Problem Critical; Deviation / Discrepancy - Procedural FAR; Deviation / Discrepancy - Procedural Maintenance; Deviation / Discrepancy - Procedural Published Material / Policy,,,Person Flight Crew,,Aircraft Aircraft Damaged; Flight Crew Diverted; Flight Crew Landed in Emergency Condition; General Maintenance Action,Aircraft; Human Factors,Human Factors,C150 PLT HAS ENG COWLING COME LOOSE AND LANDS AT A CLOSED ARPT AS A PRECAUTION.
444214,199907,1801-2400,DBQ.VORTAC,IA,10,45,,9500,,VMC,,,Daylight,,,Center ZAU.ARTCC,Personal,Skyhawk 172/Cutlass 172,,1,Part 91,,Ferry / Re-Positioning,VOR / VORTAC DBQ.VORTAC,Cruise,,Class E ZAU.E,,,,,,,,,,,,,,,,,,,,,,,,DC Generator,,X,Failed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,,Personal,Single Pilot; Pilot Flying,Flight Crew Air Transport Pilot (ATP),Flight Crew Last 90 Days 225; Flight Crew Total 10600; Flight Crew Type 13,,,,,444214,Facility ZAU.ARTCC,,Government,Enroute,Air Traffic Control Fully Certified,,,,,,,Aircraft Equipment Problem Critical,,,Person Flight Crew,,Flight Crew Landed As Precaution; Flight Crew Diverted; General Declared Emergency,Aircraft,Aircraft,C172 PLT HAD GENERATOR FAILURE.
444466,199907,0601-1200,ARG.VORTAC,AR,270,30,,5000,,VMC,10,,Daylight,CLR,,Center ZME.ARTCC,Personal,Skylane 182/RG Turbo Skylane/RG,,1,Part 91,IFR,Passenger,VOR / VORTAC ARG.VORTAC,Cruise,Airway V140.Airway,Class E ZME.E,,,Y,Y,,,,3,,,,,,,,,,,,,,,,Fuel Storage System,,X,Improperly Operated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,,Personal,Single Pilot; Pilot Flying,Flight Crew Private; Flight Crew Multiengine; Flight Crew Instrument,Flight Crew Last 90 Days 30; Flight Crew Total 1200; Flight Crew Type 400,,,,,444466,Company,,Contracted Service,Technician,Maintenance Powerplant; Maintenance Airframe,,,,,,,Aircraft Equipment Problem Critical; Deviation / Discrepancy - Procedural FAR; Deviation / Discrepancy - Procedural Published Material / Policy,,,Automation Aircraft Other Automation,,Flight Crew Landed in Emergency Condition; General Maintenance Action; General None Reported / Taken,Human Factors,Human Factors,A C182K IN CRUISE DECLARED AN EMER AND LANDED OFF ARPT DUE TO FUEL STARVATION CAUSED BY THE R TANK FILL CAP OFF.
445252,199908,0601-1200,P52.Airport,AZ,340,10,,,,VMC,,,Daylight,,,,Personal,Cessna 150,,1,Part 91,,Personal,,Cruise,,Class G P52.G,,,,,,,,,,,,,,,,,,,,,,,,Powerplant Fuel System,,X,Failed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,,Personal,Pilot Flying; Single Pilot,Flight Crew Instrument; Flight Crew Private,Flight Crew Last 90 Days 30; Flight Crew Total 2300; Flight Crew Type 200,,,,,445252,,,,,,,,,,,,Aircraft Equipment Problem Critical,,,Person Flight Crew,,Flight Crew Landed in Emergency Condition,Aircraft,Aircraft,A PVT PLT LOST ENG PWR AND LANDED ON A DIRT ROAD. FINDING THE MIXTURE CABLE BROKEN; HE WIRED THE CTL TO THE OPEN POS AND FLEW TO SEZ FOR REPAIRS.
445590,199908,0601-1200,ORL.Airport,FL,,0,0,,,VMC,,,Daylight,,,Tower ORL.Tower,Personal,Cessna 152,,1,Part 91,,Personal,,Taxi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,,Personal,Pilot Flying; Single Pilot,Flight Crew Private,Flight Crew Last 90 Days 27; Flight Crew Total 593; Flight Crew Type 150,,,,,445590,Facility ORL.Tower,,Government,Local,Air Traffic Control Fully Certified,,,,,,,Aircraft Equipment Problem Critical; Deviation / Discrepancy - Procedural Published Material / Policy; Deviation / Discrepancy - Procedural FAR; Ground Incursion Taxiway,,,Automation Aircraft Other Automation; Person Flight Crew,,Air Traffic Control Provided Assistance; Air Traffic Control Separated Traffic; Flight Crew Landed in Emergency Condition,Human Factors,Human Factors,PVT PLT OF A CESSNA 152 LANDED WITH A FUEL STARVATION CONDITION AND THEN TAXIED WITHOUT CLRNC TO PARKING SINCE HE EXPECTED THE ENG TO QUIT AT ANY MOMENT.
446315,199908,1201-1800,3J1.Airport,SC,,3,0,,,VMC,,,Daylight,,,Center ZJX.ARTCC; TRACON SAV.TRACON,Personal,Cessna 150,,1,Part 91,VFR,Personal,,Cruise,VFR Route,Class G 3J1.G; Special Use BEAUFORT.MOA,,,,,,,,,,,,,,,,,,,,,,,,Fuel System,,X,Improperly Operated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,,Personal,Pilot Flying; Single Pilot,Flight Crew Commercial; Flight Crew Instrument; Flight Crew Multiengine,Flight Crew Last 90 Days 200; Flight Crew Total 1500; Flight Crew Type 500,,,,,446315,,,,,,,,,,,,Aircraft Equipment Problem Critical; Airspace Violation All Types; Deviation / Discrepancy - Procedural FAR; Deviation / Discrepancy - Procedural Other / Unknown; Deviation / Discrepancy - Procedural Published Material / Policy; Ground Event / Encounter Other / Unknown,,,Person Flight Crew,,Flight Crew Landed in Emergency Condition,Human Factors,Human Factors,A C150 PLT REPEATEDLY PROVED; DURING 4 DIFFERENT FLTS OVER A PERIOD OF 2 DAYS; THAT HE DID NOT KNOW HOW TO PROPERLY AND SAFELY DEVELOP A FLT PLAN.
446879,199908,1801-2400,RNT.Airport,WA,,0.125,,300,,VMC,10,,Daylight,2200,,Tower RNT.Tower,Other Flight Club,Skyhawk 172/Cutlass 172,,1,Part 91,,Training,,Initial Climb,Visual Approach,Class D RNT.D,,,,,,,,4,,,,,,,,,,,,,,,,Carburetor,,X,Malfunctioning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,,FBO,Instructor; Pilot Not Flying; Single Pilot,Flight Crew Multiengine; Flight Crew Flight Instructor; Flight Crew Commercial; Flight Crew Instrument,Flight Crew Last 90 Days 141; Flight Crew Total 527; Flight Crew Type 147,,,,,446879,Aircraft X,,FBO,Single Pilot; Pilot Flying,Flight Crew Student,,,,,,,Aircraft Equipment Problem Critical; Conflict Ground Conflict; Critical; Ground Event / Encounter Other / Unknown,,,Person Air Traffic Control; Person Flight Crew,,Flight Crew Landed in Emergency Condition; General Maintenance Action,Aircraft,Aircraft,C172 INSTRUCTOR AND TRAINEE HAD FORCED LNDG; OFF ARPT.
447479,199908,0601-1200,SRQ.Airport,FL,75,16,,2000,,VMC,30,,Daylight,CLR,,,FBO,Skyhawk 172/Cutlass 172,,1,Part 91,VFR,Training,VOR / VORTAC SRQ.VORTAC,Cruise,,Class E ZMA.E,,,Y,Y,,,,3,1,,,,,,,,,,,,,,,Carburetor,,X,Malfunctioning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,,FBO,Instructor; Pilot Not Flying,Flight Crew Multiengine; Flight Crew Instrument; Flight Crew Commercial; Flight Crew Air Transport Pilot (ATP); Flight Crew Flight Instructor,Flight Crew Last 90 Days 60; Flight Crew Total 6500; Flight Crew Type 1500,,,,,447479,Aircraft X,,FBO,Pilot Flying; Trainee,Flight Crew Student,,,,,,,Aircraft Equipment Problem Critical,,,Automation Aircraft Other Automation; Person Flight Crew,,Flight Crew Landed in Emergency Condition; General Maintenance Action,Weather; Aircraft,Aircraft,A C172 IN CRUISE AT 2000 FT DECLARED AN EMER AND LANDED OFF FIELD DUE TO SURGING PWR CAUSED BY A MALFUNCTIONING CARB.
447712,199908,1201-1800,JAN.Airport,MS,,29,,1500,,VMC,10,,Daylight,CLR,,,FBO,Skyhawk 172/Cutlass 172,,1,Part 91,VFR,Training,,Cruise,Visual Approach,Class C JAN.C,,,,,,,,,,,,,,,,,,,,,,,,Fuel Crossfeed,,X,Improperly Operated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,,FBO,Pilot Flying; Single Pilot,Flight Crew Commercial; Flight Crew Instrument; Flight Crew Student,Flight Crew Last 90 Days 79; Flight Crew Total 1630; Flight Crew Type 11,,,,,447712,,,Government,,,,,,,,,Aircraft Equipment Problem Critical; Deviation / Discrepancy - Procedural FAR,,,Person Flight Crew,,General None Reported / Taken,Human Factors,Human Factors,C172 STUDENT PLT ON SOLO XCOUNTRY MAKES OFF FIELD LNDG DUE TO SELF IMPOSED FUEL STARVATION NEAR JAN.
447923,199908,1801-2400,STP.Airport,MN,,20,,3000,,,10,,Dusk,CLR,,Tower STP.Tower,Personal,Skyhawk 172/Cutlass 172,,1,Part 91,VFR,Personal,,Cruise,VFR Route,Class B MSP.B,,,,,,,,,,,,,,,,,,,,,,,,AC Generator/Alternator,,X,Failed; Malfunctioning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,,Personal,Pilot Flying; Single Pilot,Flight Crew Private,Flight Crew Last 90 Days 49; Flight Crew Total 102; Flight Crew Type 75,,,,,447923,Facility STP.Tower,,Government,Local,Air Traffic Control Fully Certified,,,,,,,Aircraft Equipment Problem Critical; Deviation / Discrepancy - Procedural FAR,,,,,Flight Crew Diverted; Flight Crew Landed in Emergency Condition; General Maintenance Action,Aircraft,Aircraft,C172 WITH ELECTRICAL DIFFICULTIES DECIDES TO RETURN TO POINT OF ORIGIN. LANDS STP WITH ELECTRICAL FAILURE.
448630,199909,0601-1200,FNT.Airport,MI,,0,0,,,,,,,,,,Personal,Skyhawk 172/Cutlass 172,,1,Part 91,,Other NS,,Parked,,,,,,,,,,,,,,,,,,,,,,,,,,ELB / ELT,,X,Improperly Operated; Malfunctioning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,,Personal,,,Flight Crew Last 90 Days 20; Flight Crew Total 1650; Flight Crew Type 400,,,,,448630,,,Government,Technician; Inspector,,,,,,,,Aircraft Equipment Problem Critical; Other ELT ACTIVATION,,,Person Other Person,,General Maintenance Action; General None Reported / Taken,Aircraft; Human Factors,Human Factors,C172 PLT FINDS HIS ACFT TICKETED BY FAA FOR ELT XMISSIONS IN THE HANGAR.
449120,199909,1201-1800,ADS.Airport,TX,,0,0,,,VMC,,,Daylight,,,Tower ADS.Tower,Personal,Skylane 182/RG Turbo Skylane/RG,,1,Part 91,,Passenger,,Taxi,,,,,,,,,,,,,,,,,,,,,,,,,,AC Generator/Alternator,,X,Failed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,,Personal,Single Pilot; Pilot Flying,Flight Crew Instrument; Flight Crew Flight Engineer; Flight Crew Commercial; Flight Crew Air Transport Pilot (ATP),Flight Crew Last 90 Days 50; Flight Crew Total 3000; Flight Crew Type 1000,,,,,449120,Facility ADS.Tower,,Government,Ground,Air Traffic Control Fully Certified,,,,,,,Aircraft Equipment Problem Less Severe; Deviation / Discrepancy - Procedural Clearance; Ground Incursion Taxiway,,,Person Air Traffic Control,,Air Traffic Control Issued New Clearance; Air Traffic Control Issued Advisory / Alert; Flight Crew Became Reoriented; General None Reported / Taken; General Maintenance Action,Human Factors; Aircraft,Human Factors,C182 LANDS UNEVENTFULLY WITH INOP ALTERNATOR AND TAXIES WITHOUT PROPER CLRNC ONTO A TXWY AT ADS.
449200,199909,1201-1800,FKL.Airport,PA,0,,5000,,,VMC,,,Daylight,,,UNICOM fkl,Corporate,Cessna 152,,1,Part 91,VFR,Ferry / Re-Positioning,,Takeoff / Launch; Initial Climb,VFR Route,Class G FKL.G,,,,,,,,,,,,,,,,,,,,,,,,VHF,,X,Malfunctioning,UNICOM fkl,Personal,Cessna Aircraft Undifferentiated or Other Model,,1,Part 91,,,,,Other Traffic Pattern,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,,Corporate,Single Pilot; Pilot Flying,Flight Crew Commercial; Flight Crew Multiengine; Flight Crew Flight Instructor; Flight Crew Instrument,Flight Crew Last 90 Days 20; Flight Crew Total 8000; Flight Crew Type 500,,,,,449200,Aircraft Y,,Personal,Single Pilot; Pilot Flying,Flight Crew Private,,,,,,,Aircraft Equipment Problem Less Severe; Conflict Airborne Conflict; Deviation / Discrepancy - Procedural Other / Unknown,,,Person Flight Crew,,General None Reported / Taken,Aircraft; Airspace Structure; Human Factors,Aircraft,A C182 PLT RAISES THE IRE OF AN APCHING CESSNA PLT WHEN HE DEPARTS FKL NON TWR UNICOM ARPT AND THE #2 RADIO DID NOT XMIT HIS SELF ANNOUNCE DEP PROC AT FKL; PA.
449401,199909,0601-1200,GLS.Airport,TX,,5,,2500,,VMC,,,Daylight,,,CTAF GLS,Personal,Skylark 175,,1,Part 91,,Personal,,,VFR Route,Class E ZHU.E,,,,,,Repair; Testing,,,,,,,,,,,,,,,,,,Fuel System,,X,Malfunctioning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,,Personal,Pilot Flying; Single Pilot,Flight Crew Private,Flight Crew Total 3300,,,,,449401,Aircraft X,,,Passenger,,,,,,,,Aircraft Equipment Problem Critical; Ground Event / Encounter Other / Unknown; Inflight Event / Encounter Loss Of Aircraft Control,,,Person Flight Crew,,Aircraft Aircraft Damaged; Flight Crew Landed in Emergency Condition,Aircraft; Human Factors,Aircraft,C175 PLT LANDS IN WATER AFTER FUEL STARVATION WITH 24 GALLONS OF FUEL ON BOARD.
449784,199909,1201-1800,GLS.Airport,TX,,2,,1200,,VMC,10,,Daylight,CLR,,CTAF GLS,,Cessna 150,,2,Part 91,,Training,,Cruise; Descent,,Class E ZHU.E,,,,,,Repair,,,,,,,,,,,,,,,,,,Throttle/Power Lever,,X,Failed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,,FBO,Instructor; Pilot Flying,Flight Crew Commercial; Flight Crew Flight Instructor; Flight Crew Instrument; Flight Crew Multiengine,Flight Crew Last 90 Days 15; Flight Crew Total 3000; Flight Crew Type 1000,,Troubleshooting,,,449784,Aircraft X,,FBO,Trainee; Pilot Not Flying,,,,,,,,Aircraft Equipment Problem Critical; Deviation / Discrepancy - Procedural Maintenance; Ground Event / Encounter Other / Unknown,,,Person Flight Crew,,Flight Crew Landed in Emergency Condition; General Declared Emergency; General Maintenance Action,Aircraft; Human Factors,Human Factors,C150 PLT HAS ENG PROBS AND LANDS SUCCESSFULLY ON ROAD.
449838,199909,1201-1800,CDW.Airport,NJ,,,0,,,VMC,15,,Daylight,12000,,Tower CDW.Tower,Personal,Skyhawk 172/Cutlass 172,,1,Part 91,,Personal,,Landing,,Class D CDW.D,,,,,,,,,,,,,,,,,,,,,,,,Nose Gear Tire,,X,Failed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,,Personal,Single Pilot; Pilot Flying,Flight Crew Commercial,Flight Crew Last 90 Days 60; Flight Crew Total 819; Flight Crew Type 54,,,,,449838,Facility CDW.Tower,,Government,Local,Air Traffic Control Fully Certified,,,,,,,Aircraft Equipment Problem Less Severe; Deviation / Discrepancy - Procedural Clearance; Ground Incursion Runway; Other Flat Tire,,,Person Air Traffic Control; Person Flight Crew,,General None Reported / Taken; General Maintenance Action,Human Factors; Environment - Non Weather Related,Human Factors,CESSNA PLT BRAKES HARD ENOUGH TO BLOW A TIRE THINKING THE RWY END IS NEAR BECAUSE OF RESTR VISIBILITY DUE TO SETTING SUN.
449935,199811,1201-1800,EGLL.Airport,FO,,15,500,,,VMC,10,,Daylight,,,Military Facility ZZZ.MILFAC,Personal,Cessna 152,,1,Part 91,IFR,Personal,,Initial Climb,VFR Route; Other Noise Abatement,Class G ZZZ.G,,,,,,,,,,,,,,,,,,,,,,,,Carburetor Heat Control,,X,Improperly Operated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,,Personal,Pilot Flying; Single Pilot,Flight Crew Commercial; Flight Crew Private,Flight Crew Total 1000,,,,,449935,,,,,,,,,,,,Aircraft Equipment Problem Critical; Inflight Event / Encounter Other / Unknown,,,Person Flight Crew,,Flight Crew Landed in Emergency Condition; General Maintenance Action,Aircraft; Human Factors; Weather,Human Factors,A C152 PLT LOSES PWR AFTER TKOF AND MAKES AN OFF ARPT EMER LNDG NEAR THE DEP ARPT; A MIL GRASS SURFACED FIELD; JUST NW OF EGLL; FO.
450259,199909,0601-1200,BJC.Airport,CO,,1,250,,,VMC,,,Daylight,,,Tower BJC.Tower,FBO,Skyhawk 172/Cutlass 172,,1,Part 91,,Training,,Initial Climb,,Class D BJC.D,,,,,,,,,,,,,,,,,,,,,,,,Reciprocating Engine Assembly,,X,Improperly Operated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,,FBO,Instructor; Pilot Not Flying,Flight Crew Flight Instructor; Flight Crew Commercial; Flight Crew Instrument,Flight Crew Total 1100,,,,,450259,Aircraft X,,FBO,Trainee; Pilot Flying,Flight Crew Student,,,,,,,Aircraft Equipment Problem Critical; Other Forced Landing,,,Automation Aircraft Other Automation; Person Flight Crew,,Flight Crew Landed in Emergency Condition; General Maintenance Action; General Declared Emergency,Aircraft,Aircraft,INSTRUCTOR PLT TOOK OVER CTL OF ACFT AND MADE AN EMER LNDG OFF ARPT AFTER ENG BEGAN LOSING PWR ON INITIAL CLB AFTER TKOF.
450524,199909,0601-1200,SCK.Airport,CA,,,,,,,,,,,,TRACON SCK.TRACON; Tower SCK.Tower,Other Civil Air Patrol,Skylane 182/RG Turbo Skylane/RG,,1,Part 91,,Other Civil Air Patrol,,Cruise,,Class D SCK.D; Class E SCK.E,,,,,,,,,,,,,,,,,,,,,,,,Oil Filler Cap,,X,Improperly Operated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Company,,Contracted Service,Aircraft Manager,Flight Crew Instrument; Flight Crew Private,Flight Crew Last 90 Days 6; Flight Crew Total 1283,,,,,450524,Aircraft X,,Government,Single Pilot; Pilot Flying,Flight Crew Private; Flight Crew Instrument,,,,,,,Aircraft Equipment Problem Critical; Deviation / Discrepancy - Procedural Published Material / Policy; Deviation / Discrepancy - Procedural Maintenance,,,Person Flight Crew,,Aircraft Aircraft Damaged; Flight Crew Landed in Emergency Condition; General Maintenance Action; General Declared Emergency,Human Factors; Aircraft,Human Factors,UNDER SELF-IMPOSED PRESSURE; A ACFT MGR ATTEMPTED TO PERFORM MAINT ON HIS ACFT IN THE HOPES THAT AN A&I WOULD LATER TAKE CARE OF THE UNFINISHED ITEMS. THERE WAS NO COM BTWN THEM. THE MGR SELF-ADMITTED THAT HE FORGOT TO REPLACE THE OIL FILLER CAP. DURING THE MISSION; THE PLT HAD TO MAKE AN EMER LNDG AT SCK.
450547,199909,1201-1800,VNY.Airport,CA,,5,,7500,,VMC,,,Daylight,,,TRACON SCT.TRACON,Personal,Skyhawk 172/Cutlass 172,,1,Part 91,VFR,Personal,,Cruise,,Class E SCT.E,,,,,,,,,,,,,,,,,,,,,,,,Reciprocating Engine Assembly,,X,Failed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,,Personal,Single Pilot; Pilot Flying,Flight Crew Instrument; Flight Crew Commercial,Flight Crew Last 90 Days 6; Flight Crew Total 1250; Flight Crew Type 800,,,,,450547,,,,,,,,,,,,Aircraft Equipment Problem Critical,,,Person Flight Crew,,Air Traffic Control Issued New Clearance; Aircraft Aircraft Damaged; Flight Crew Landed As Precaution,Aircraft,Aircraft,A C172 PLT EXPERIENCED A ROUGH RUNNING ENG AND LANDED AS A PRECAUTION AT BUR.
